大类,中类,小类,细分类,棚格图分类,棚格图名称,商品编码,名称,品牌,规格/容量/尺寸,规格,品种,包装,口味,售价,价格带,尺码,含糖量,成分特点,脂肪含量,是否有机,配方,片数范围,功效,适用人群/场景,进口/国产,肉种,酒精度数,香味,面条形状,加工工艺,颜色,订单数,销售,毛利,每订单门店数,每金额门店数,在售门店数,订单同比增长率,销售同比增长率,上市天数
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,104394930,格兰娜290g牧童图案牛奶味饼干,格罗娜,290g,100-299g/ml,休闲饼干,袋,牛奶,12.9,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0517,0.590826656,19.69093726,19.3548,1.692543812,150,-0.42363434,-0.469033482,785
23,2301_饼干糕点,2312_糕饼,23122_蛋糕蛋卷,2336,糕点,800403245,茱蒂丝100g可可乐香草味蛋卷,茱蒂丝,100g,0-149g/ml,蛋糕蛋卷,盒,香草,12.9,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0,0,0,0,0,0,0,0,2841
23,2301_饼干糕点,2311_饼干,23111_威化饼干,2312,威化,108627500,奥朗探戈160g咔咔脆威化饼干奶酪味,奥朗探戈,160g,150-199g/ml,威化饼干,盒,奶油、奶酪,12.9,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0308,0.295136574,-12.36781521,32.4807,3.388261869,24,0.29411765,0.029939917,487
23,2301_饼干糕点,2312_糕饼,23122_蛋糕蛋卷,2336,糕点,108329318,小野平郎256g厚切长崎蛋糕牛奶味,小野平郎,256g,150-299g/ml,蛋糕蛋卷,袋,牛奶,14.9,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0056,0.175666667,-33.52042439,180.1802,5.69259962,4,-0.91919192,-0.75350815,559
23,2301_饼干糕点,2312_糕饼,23122_蛋糕蛋卷,2336,糕点,108834470,七武花田224g巧克力涂层蛋糕乳酸菌味,七武花田,224g,150-299g/ml,蛋糕蛋卷,袋,巧克力,15.8,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0544,0.675845108,4.338762435,18.3742,1.479628968,108,4.23076923,3.576398738,420
23,2301_饼干糕点,2311_饼干,23114_早餐饼干,2314,饼干,108688783,冬己203g日式小圆饼,冬己,203g,200g/ml以上,早餐饼干,袋,原味,16.8,15-24.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.2072,3.237591073,56.87045261,4.8261,0.30887162,219,-0.30632742,-0.330590215,469
23,2301_饼干糕点,2311_饼干,23116_曲奇饼干,2316,曲奇,108124380,麦阿思110g奶酪夹心松脆曲奇饼干,麦阿思,110g,0-149g/ml,曲奇饼干,盒,奶油、奶酪,18,15-24.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0208,0.246180556,-34.501836,47.9904,4.062059238,8,-0.66451613,-0.733479172,611
23,2301_饼干糕点,2312_糕饼,23125_含馅饼、酥,2336,糕点,101010339,爱利地135g千层酥,爱利地,135g,0-149g/ml,含馅饼、酥,袋,原味,19.5,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0056,0.155555556,-65.128385,178.5714,6.428571429,1,-0.86602871,-0.763539241,930
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,108685540,格力高140g百奇分享装牛奶味,格力高,140g,100-299g/ml,休闲饼干,盒,牛奶,19.8,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0946,1.471448293,-26.10148568,10.5711,0.679602542,218,0.31388889,0.095226164,469
23,2301_饼干糕点,2311_饼干,23111_威化饼干,2312,威化,800408653,莱家110g卡布奇诺味粒粒装威化饼,莱家,110g,0-149g/ml,威化饼干,袋,巧克力,19.9,15-24.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1251,2.415079848,115.598431,7.9946,0.414064984,33,-0.11213627,-0.156666163,1924
